"p","bayes","bravo07","bravo055"
0.45,497.875438556021,492.817326023095,500.382621491176
0.457692307692308,497.456741542413,491.726223363484,500.060941517354
0.465384615384615,496.733313531222,489.972893154875,499.364126566284
0.473076923076923,495.7350552901,487.805426397298,498.164149534404
0.480769230769231,494.297961307307,485.126975858391,496.109679685063
0.488461538461538,492.086702146612,481.818389179159,492.616496401886
0.496153846153846,488.234454072586,477.733299700528,486.728838484905
0.503846153846154,481.362910114608,474.053390832057,479.852572405181
0.511538461538461,453.610902329287,468.153895228788,465.627329417507
0.519230769230769,413.27164812351,460.883535192579,442.761132442504
0.526923076923077,369.705815361261,451.933335123327,407.408822147033
0.534615384615385,327.561688470547,440.930771048706,356.580910347955
0.542307692307692,288.906943407263,427.431252230343,294.683516550897
0.55,254.497920037259,410.912522212131,243.016290747854
0.557692307692308,231.514253605111,396.184953496251,213.682622028902
0.565384615384615,204.41231668877,372.908848332609,183.200291373895
0.573076923076923,180.984559473707,344.866702741702,159.729083081993
0.580769230769231,160.786962011257,311.488185514894,141.218656572897
0.588461538461538,143.38652161734,272.54067608611,126.317468342617
0.596153846153846,128.383596175993,228.677252170635,114.107289987294
0.603846153846154,118.487967248111,194.071381754528,106.322586985019
0.611538461538462,106.847481495516,150.961259895662,97.3918934480379
0.619230769230769,96.7303779785015,119.434627689911,89.7927528674602
0.626923076923077,87.90214325669,97.5611349492032,83.2571051126253
0.634615384615385,80.1671614629843,81.7807285060274,77.582542229497
0.642307692307692,73.3628651008835,70.0063458037344,72.6137350668305
0.65,67.353954370829,60.9651091864335,68.2297400083182
0.657692307692308,63.3005336539574,55.4804906060447,65.2673640286042
0.665384615384615,58.4226760859632,49.4509975021625,61.6889982318794
0.673076923076923,54.0712803597497,44.5364754965967,58.4766618094541
0.680769230769231,50.1760640848653,40.4645574514014,55.5777547857384
0.688461538461538,46.6775199116665,37.0422523428964,52.949151470881
0.696153846153846,43.5250945754173,34.1296947572522,50.5551936954792
0.703846153846154,41.3617483524958,32.2165408112232,48.8956461153884
0.711538461538461,38.7151292951046,29.9628373564683,46.843716561875
0.719230769230769,36.3105181568226,27.9914786663435,44.9556356727966
0.726923076923077,34.1196676309592,26.2532583955902,43.21274991677
0.734615384615385,32.1182210497561,24.7096148219395,41.5991421499932
0.742307692307692,30.285123995612,23.3299706360976,40.1011688606474
0.75,28.6021334174177,22.0898182187975,38.7070891614904
